Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W010,8220A-4750,"Installation of BSP Monitoring Point (111 Nos)",TT_Task,,"Monitoring Instrumentation",05-May-2010,25-Mar-2011,324,05-May-2010,19-Sep-2011,502,0,178,54.94,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,0,0
822_AB_W010,8220A-6470,"Installation of standpipe / piezometer (37Nos)",TT_Task,,"Monitoring Instrumentation",07-Apr-2010,21-Jan-2011,289,07-Apr-2010,05-Apr-2012,729,0,440,152.25,01-Jan-2017,01-Jan-2017,29-May-2013,29-May-2013,0,1
822_AB_W010,8220A-6480,"Installation of UMP Monitoring Point (30 Nos)",TT_Task,,"Monitoring Instrumentation",12-May-2010,29-Jan-2011,262,12-May-2010,15-Aug-2011,460,0,198,75.57,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,0,0
822_AB_W010,8220A-6540,"Installation of TM Monitoring Point (110 Nos)",TT_Task,,"Monitoring Instrumentation",20-May-2010,17-Mar-2011,301,20-May-2010,24-Oct-2011,522,0,221,73.42,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,0,0
822_AB_W010,8220A-6760,"Installation of GSP Monitoring Point (148 Nos)",TT_Task,,"Monitoring Instrumentation",15-May-2010,08-Mar-2011,297,15-May-2010,02-Jul-2011,413,0,116,39.06,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,0,0
822_AB_W010,8220A-6840,"Installation of PGWMP Monitoring Point (12 Nos)",TT_Task,,"Monitoring Instrumentation",05-May-2010,09-Aug-2010,96,05-May-2010,30-Jul-2011,451,0,355,369.79,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,0,0
822_AB_W010,8220CM-21,"PHVA to Tunnel Alignment at Ch0+611",TT_FinMile,,"PHVA",01-Jun-2012,01-Jun-2012,0,16-May-2012,16-May-2012,,-16,,,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,1,0
822_AB_W010,8220CM-361,"PHVA Complete Adit Lining",TT_FinMile,,"PHVA",02-Nov-2017,02-Nov-2017,0,,,,0,,,02-Nov-2017,02-Nov-2017,10-May-2015,10-May-2015,2,0
822_AB_W010,8220CM-221,"PHVAA - Complete Undertrack Passage",TT_FinMile,,"PHVAA",02-Feb-2017,02-Feb-2017,0,,,,0,,,02-Feb-2017,02-Feb-2017,10-May-2015,10-May-2015,1,0
822_AB_W010,8220CM-311,"PHVAA Complete the VAA Excavation",TT_FinMile,,"PHVAA",14-Aug-2012,14-Aug-2012,0,28-Jul-2012,28-Jul-2012,,-17,,,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,1,0
