Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4Dr1,822-KD-CD-1000,"Completion of the Whole of the Works",TT_FinMile,,"Table 1 - Whole of the Works",12-Nov-2017,12-Nov-2017,0,23-Mar-2017,23-Mar-2017,,-234,,,,,,,22,0
822_AB_W11v4Dr1,822-KD-SDC-4A-1,"Tunnels from Northern to Southern Limit Degree 1 (revised 14/03/14)",TT_FinMile,,"Table 4 - Specified Degrees of Completion",24-Nov-2015,24-Nov-2015,0,01-Mar-2015,01-Mar-2015,,-268,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4B-1,"SM Vent Building and Shaft - all rooms and common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",05-Feb-2016,05-Feb-2016,0,22-Jan-2016,22-Jan-2016,,-14,,,,,,,3,0
822_AB_W11v4Dr1,822-KD-SDC-4B-2,"SM Vent Building and Shaft - all rooms and common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",09-Jun-2017,09-Jun-2017,0,,,,0,,,09-Jun-2017,09-Jun-2017,28-Sep-2013,28-Sep-2013,11,0
822_AB_W11v4Dr1,822-KD-SDC-4B-3,"SM Vent Building and Shaft - all rooms and common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",21-Jun-2017,21-Jun-2017,0,,,,0,,,21-Jun-2017,21-Jun-2017,30-Nov-2013,30-Nov-2013,13,0
822_AB_W11v4Dr1,822-KD-SDC-4C-3,"PH Vent Building - all rooms and common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",31-May-2017,31-May-2017,0,,,,0,,,31-May-2017,31-May-2017,01-Mar-2014,01-Mar-2014,2,0
822_AB_W11v4Dr1,822-KD-SDC-4E-1,"SM EAP Adit - all rooms and common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",02-Jan-2015,02-Jan-2015,0,23-Dec-2014,23-Dec-2014,,-10,,,,,,,0,0
822_AB_W11v4Dr1,822-KD-SDC-4E-2,"SM EAP Adit - all rooms and common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",01-Aug-2015,01-Aug-2015,0,09-Jul-2016,09-Jul-2016,,343,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4E-3,"SM EAP Adit - all rooms and common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",31-May-2017,31-May-2017,0,,,,0,,,31-May-2017,31-May-2017,01-Mar-2014,01-Mar-2014,2,0
822_AB_W11v4Dr1,822-KD-SDC-4F-1,"PH Ventilation Adit - Common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",01-May-2015,01-May-2015,0,09-Apr-2015,09-Apr-2015,,-22,,,,,,,0,0
822_AB_W11v4Dr1,822-KD-SDC-4F-2,"PH Ventilation Adit - Common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",30-Nov-2015,30-Nov-2015,0,30-Nov-2015,30-Nov-2015,,0,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4F-3,"PH Ventilation Adit - Common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",01-Feb-2017,01-Feb-2017,0,16-Aug-2016,16-Aug-2016,,-169,,,,,,,3,0
822_AB_W11v4Dr1,822-KD-SDC-4G-1,"PH Vehicular Access Adit - Common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",06-Dec-2015,06-Dec-2015,0,01-May-2015,01-May-2015,,-219,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4G-2,"PH Vehicular Access Adit - Common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",30-Nov-2015,30-Nov-2015,0,30-Jan-2016,30-Jan-2016,,61,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4G-3,"PH Vehicular Access Adit - Common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",31-May-2017,31-May-2017,0,,,,0,,,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,8,1
822_AB_W11v4Dr1,822-KD-SDC-4H-1,"PH Vehicular Access Adit - All rooms Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",14-Jun-2015,14-Jun-2015,0,30-Apr-2015,30-Apr-2015,,-45,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4H-2,"PH Vehicular Access Adit - All rooms Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",30-Nov-2015,30-Nov-2015,0,30-Nov-2015,30-Nov-2015,,0,,,,,,,1,0
822_AB_W11v4Dr1,822-KD-SDC-4H-3,"PH Vehicular Access Adit - All rooms Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",31-May-2017,31-May-2017,0,,,,0,,,31-May-2017,31-May-2017,31-May-2014,31-May-2014,6,1
822_AB_W11v4Dr1,822-KD-SDC-4C-2,"PH Vent Building - all rooms and common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",30-Sep-2016,30-Sep-2016,0,27-Dec-2013,27-Dec-2013,,-1008,,,,,,,0,0
822_AB_W11v4Dr1,822-KD-SDC-4C-1,"PH Vent Building - all rooms and common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",27-Nov-2016,27-Nov-2016,0,11-Sep-2013,11-Sep-2013,,-1173,,,,,,,0,0
822_AB_W11v4Dr1,822-KD-P-1150,"Planned completion of PHVAA",TT_FinMile,,"Planned Completion Dates",05-Dec-2015,05-Dec-2015,0,01-May-2015,01-May-2015,,-218,,,,,,,1,7
822_AB_W11v4Dr1,822-KD-P-1170,"Planned completion of VB4 (external works)",TT_FinMile,,"Planned Completion Dates",20-May-2017,20-May-2017,0,30-Apr-2017,30-Apr-2017,,-20,,,,,,,10,5
822_AB_W11v4Dr1,822-KD-P-1190,"Planned completion of VB5 (internal works)",TT_FinMile,,"Planned Completion Dates",05-Feb-2016,05-Feb-2016,0,22-Jan-2016,22-Jan-2016,,-14,,,,,,,2,6
822_AB_W11v4Dr1,822-KD-P-2000,"Planned Completion of the Whole of the Works",TT_FinMile,,"Planned Completion Dates",02-Jan-2018,02-Jan-2018,0,,,,0,,,02-Jan-2018,02-Jan-2018,30-Dec-2017,30-Dec-2017,34,1
822_AB_W11v4Dr1,822-KD-P-1195,"Planned completion of VB5 (external works)",TT_FinMile,,"Planned Completion Dates",13-Sep-2017,13-Sep-2017,0,,,,0,,,13-Sep-2017,13-Sep-2017,28-Sep-2017,28-Sep-2017,10,4
822_AB_W11v4Dr1,822-KD-P-2010,"Planned closure of Main Tunnel lining at SY Construction Adit Junction",TT_FinMile,,"Planned Completion Dates",23-Nov-2015,23-Nov-2015,0,09-Dec-2015,09-Dec-2015,,16,,,,,,,2,1
822_AB_W11v4Dr1,822-KD-P-1175,"Planned completion of Pat Heung",TT_FinMile,,"Planned Completion Dates",29-Jun-2017,29-Jun-2017,0,,,,0,,,29-Jun-2017,29-Jun-2017,30-Dec-2017,30-Dec-2017,2,1
822_AB_W11v4Dr1,822-KD-P-1180,"Planned completion of Main Tunnel Remdials",TT_FinMile,,"Planned Completion Dates",31-May-2017,31-May-2017,0,,,,0,,,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,1,1
822_AB_W11v4Dr1,822-KD-A-3330,"Vacate Area 6.11 (Tai Shu Ha) - EI 92 (after 824 blasting or 30 Jun 15)",TT_FinMile,,"Tai Shu Ha",01-Feb-2016,01-Feb-2016,0,27-Nov-2015,27-Nov-2015,,-66,,,,,,,1,1
822_AB_W11v4Dr1,822-KD-A-3340,"Vacate Area 6.12 (Tai Shu Ha) - EI 92 (after 824 blasting or 30 Jun 15)",TT_FinMile,,"Tai Shu Ha",01-Feb-2016,01-Feb-2016,0,27-Nov-2015,27-Nov-2015,,-66,,,,,,,1,1
822_AB_W11v4Dr1,822-KD-A-3410,"Vacate Area 6.8 (So Kwan Wat) -EI 97 (Return Date extended to 30 Sep 15) (MTR Letter: Extend to 31 Dec 17)",TT_FinMile,,"So Kwan Wat",31-Dec-2017,31-Dec-2017,0,,,,0,,,31-Dec-2017,31-Dec-2017,30-Dec-2017,30-Dec-2017,2,1
822_AB_W11v4Dr1,822-KD-A-3420,"Vacate Area 7.1 (Shing Mun)",TT_FinMile,,"Shing Mun",12-Oct-2017,12-Oct-2017,0,,,,0,,,12-Oct-2017,12-Oct-2017,30-Dec-2017,30-Dec-2017,2,1
822_AB_W11v4Dr1,822-KD-A-3430,"Vacate Area 7.2 (Shing Mun)",TT_FinMile,,"Shing Mun",12-Oct-2017,12-Oct-2017,0,,,,0,,,12-Oct-2017,12-Oct-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-KD-A-4205,"Vacate Area 7.3 (Part - Shing Mun Bus Terminus)",TT_FinMile,,"Shing Mun",12-Oct-2017,12-Oct-2017,0,,,,0,,,12-Oct-2017,12-Oct-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-KD-A-3290,"Vacate Area 6.4 (Kam Sheung Rd - by SLG)",TT_FinMile,,"Pat Heung",24-Mar-2017,24-Mar-2017,0,23-Jan-2017,23-Jan-2017,,-60,,,,,,,2,1
822_AB_W11v4Dr1,822-KD-A-3380,"Vacate Area 6.1 (Pat Heung)",TT_FinMile,,"Pat Heung",30-Jun-2017,30-Jun-2017,0,,,,0,,,30-Jun-2017,30-Jun-2017,30-Dec-2017,30-Dec-2017,9,1
822_AB_W11v4Dr1,822-KD-A-3390,"2nd Vacate Area 6.2 (Pat Heung)",TT_FinMile,,"Pat Heung",30-Jun-2017,30-Jun-2017,0,,,,0,,,30-Jun-2017,30-Jun-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-KD-A-3400,"Vacate Area 6.3 (Pat Heung)",TT_FinMile,,"Pat Heung",30-Jun-2017,30-Jun-2017,0,,,,0,,,30-Jun-2017,30-Jun-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-KD-A-4880,"Vacate Area 6.1A  (Pat Heung)",TT_FinMile,,"Pat Heung",30-Jun-2017,30-Jun-2017,0,,,,0,,,30-Jun-2017,30-Jun-2017,30-Dec-2017,30-Dec-2017,2,1
822_AB_W11v4Dr1,822-KD-A-3460,"Vacate Area 8.5 (Kwai Fong Compound)",TT_FinMile,,"Kwai Fong",27-Oct-2017,27-Oct-2017,0,,,,0,,,27-Oct-2017,27-Oct-2017,30-Dec-2017,30-Dec-2017,1,1
