Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4,822-KD-SS-1000,"W11 Schedule Start From Date",TT_Mile,,"Schedule Start From",28-Apr-2014,28-Apr-2014,0,28-Apr-2014,28-Apr-2014,,0,,,01-Jan-2017,01-Jan-2017,01-Jun-2013,01-Jun-2013,0,54
822_AB_W11v4,822-KD-CD-1000,"Completion of the Whole of the Works",TT_FinMile,,"Table 1 - Whole of the Works",26-Nov-2017,26-Nov-2017,0,,,,0,,,26-Nov-2017,26-Nov-2017,10-May-2015,10-May-2015,75,0
822_AB_W11v4,822-KD-SDC-4A-1,"Tunnels from Northern to Southern Limit Degree 1 (revised 14/03/14)",TT_FinMile,,"Table 4 - Specified Degrees of Completion",24-Nov-2015,24-Nov-2015,0,02-Mar-2015,02-Mar-2015,,-267,,,24-Jan-2017,24-Jan-2017,26-Nov-2017,26-Nov-2017,15,0
822_AB_W11v4,822-KD-SDC-4B-1,"SM Vent Building and Shaft - all rooms and common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",09-Feb-2017,09-Feb-2017,0,,,,0,,,09-Feb-2017,09-Feb-2017,29-Jun-2013,29-Jun-2013,4,0
822_AB_W11v4,822-KD-SDC-4B-2,"SM Vent Building and Shaft - all rooms and common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",07-Jun-2017,07-Jun-2017,0,,,,0,,,07-Jun-2017,07-Jun-2017,28-Apr-2014,28-Apr-2014,1,0
822_AB_W11v4,822-KD-SDC-4B-3,"SM Vent Building and Shaft - all rooms and common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",09-Aug-2017,09-Aug-2017,0,,,,0,,,09-Aug-2017,09-Aug-2017,28-Apr-2014,28-Apr-2014,2,0
822_AB_W11v4,822-KD-SDC-4C-3,"PH Vent Building - all rooms and common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",01-Sep-2015,01-Sep-2015,0,25-Jul-2015,25-Jul-2015,,-38,,,01-Jan-2017,01-Jan-2017,26-Nov-2017,26-Nov-2017,1,0
822_AB_W11v4,822-KD-SDC-4E-1,"SM EAP Adit - all rooms and common areas Degree 1",TT_FinMile,,"Table 4 - Specified Degrees of Completion",02-Jan-2015,02-Jan-2015,0,23-Dec-2014,23-Dec-2014,,-10,,,01-Jan-2017,01-Jan-2017,26-Nov-2017,26-Nov-2017,1,0
822_AB_W11v4,822-KD-SDC-4E-2,"SM EAP Adit - all rooms and common areas Degree 2",TT_FinMile,,"Table 4 - Specified Degrees of Completion",01-Aug-2015,01-Aug-2015,0,17-Jun-2015,17-Jun-2015,,-45,,,01-Jan-2017,01-Jan-2017,26-Nov-2017,26-Nov-2017,2,0
822_AB_W11v4,822-KD-SDC-4E-3,"SM EAP Adit - all rooms and common areas Degree 3",TT_FinMile,,"Table 4 - Specified Degrees of Completion",15-Feb-2017,15-Feb-2017,0,,,,0,,,15-Feb-2017,15-Feb-2017,28-Apr-2014,28-Apr-2014,2,0
