Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
820_As-built,8200C0A110,"Site Office Establish at Works Area 11.22",TT_Task,,"Construction",08-Jan-2011,14-Mar-2011,65,25-Aug-2010,30-Oct-2010,66,-136,1,1.54,,,,,2,2
820_As-built,8200C0A350,"Internal Fitting Out",TT_Task,,"Construction",21-Jun-2011,13-Jul-2011,22,22-Nov-2010,11-Dec-2010,19,-211,-3,-13.64,,,,,1,1
820_As-built,8200C0A330,"Base Slab Construction",TT_Task,,"Construction",23-Jun-2011,27-Jun-2011,4,10-Nov-2010,13-Nov-2010,3,-225,-1,-25.00,,,,,1,1
820_As-built,8200C0A340,"Erection of Building Structure",TT_Task,,"Construction",21-Jun-2011,13-Jul-2011,22,15-Nov-2010,04-Dec-2010,19,-218,-3,-13.64,,,,,1,1
820_As-built,8200C0A440,"External Slab Construction",TT_Task,,"External Works",21-Jun-2011,05-Jul-2011,14,08-Nov-2010,20-Nov-2010,12,-225,-2,-14.29,,,,,2,4
820_As-built,8200C0A450,"External U-channel",TT_Task,,"External Works",21-Jun-2011,30-Jun-2011,9,11-Nov-2010,20-Nov-2010,9,-222,0,0.00,,,,,1,1
820_As-built,8200C0A460,"Sewer and Manholes",TT_Task,,"External Works",21-Jun-2011,27-Jun-2011,6,08-Nov-2010,13-Nov-2010,5,-225,-1,-16.67,,,,,1,1
820_As-built,8200C0A470,"Hoarding Erection",TT_Task,,"External Works",21-Jun-2011,02-Jul-2011,11,10-Nov-2010,20-Nov-2010,10,-223,-1,-9.09,,,,,1,1
820_As-built,8200C0A480,"Main Gate Installation",TT_Task,,"External Works",21-Jun-2011,27-Jun-2011,6,18-Nov-2010,24-Nov-2010,6,-215,0,0.00,,,,,1,1
820_As-built,8200C0A490,"Sign Board Installation",TT_Task,,"External Works",21-Jun-2011,27-Jun-2011,6,09-Dec-2010,15-Dec-2010,6,-194,0,0.00,,,,,4,2
820_As-built,8200DSA210,"Submission of Revised CAP (by MTR)",TT_Task,,"Contamination",08-Jan-2011,20-Jan-2011,12,01-Sep-2010,13-Sep-2010,12,-129,0,0.00,,,,,1,1
820_As-built,8200DSA220,"Approval Time of CAP from EPD",TT_Task,,"Contamination",18-Jan-2011,19-Feb-2011,32,11-May-2010,14-Jun-2010,34,-252,2,6.25,,,,,1,2
820_As-built,8200DSA230,"Site Investigation & Sample Locations Survey",TT_Task,,"Contamination",28-Feb-2011,07-Mar-2011,7,25-Jun-2010,03-Jul-2010,8,-248,1,14.29,,,,,2,2
820_As-built,8200DSA240,"Submission of CAR",TT_Task,,"Contamination",01-Apr-2011,04-May-2011,33,10-Aug-2010,06-Sep-2010,27,-234,-6,-18.18,,,,,3,1
820_As-built,8200DSA250,"Submission of RAP",TT_Task,,"Contamination",01-Apr-2011,04-May-2011,33,10-Aug-2010,06-Sep-2010,27,-234,-6,-18.18,,,,,1,1
820_As-built,8200DSA260,"Comments from EPD",TT_Task,,"Contamination",19-Apr-2011,21-May-2011,32,14-Sep-2010,13-Oct-2010,29,-217,-3,-9.38,,,,,1,2
