Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
821_RMP_B_R3_May15MP,821013650,"820 TBM2 (S-631-1) uptrack construction",TT_Task,,"Uptrack Construction",29-Mar-2013,27-Aug-2013,151,29-Mar-2013,23-Jul-2013,116,0,-35,-23.18,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821013641,"TBM2 (S-631-1) Re-assembly",TT_Task,,"Uptrack Construction",10-Jan-2013,22-Mar-2013,71,08-Jan-2013,28-Mar-2013,79,-2,8,11.27,31-May-2015,31-May-2015,10-May-2016,10-May-2016,0,1
821_RMP_B_R3_May15MP,821013550,"TBM Design",TT_Task,,"Design and Procurement",19-Jul-2010,21-Sep-2010,64,19-Jul-2010,04-Oct-2010,77,0,13,20.31,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013560,"TBM Procurement",TT_Task,,"Design and Procurement",05-Oct-2010,16-Aug-2011,315,05-Oct-2010,04-Nov-2011,395,0,80,25.40,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013620,"TBM2 (S-631-1) Assembly and T & C",TT_Task,,"Downtrack Construction",05-Nov-2011,19-Jan-2012,75,05-Nov-2011,19-Jan-2012,75,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013630,"820 TBM2 (S-631-1) downtrack construction",TT_Task,,"Downtrack Construction",04-Feb-2012,08-Aug-2012,186,04-Feb-2012,29-Jul-2012,176,0,-10,-5.38,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821010650,"Submission of M.S. for Kwai Chung Portal & Adit construction",TT_Task,,"Method Statement",12-Aug-2010,08-Sep-2010,27,12-Aug-2010,16-Nov-2010,96,0,69,255.56,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821010690,"Approve M.S. for Kwai Chung Portal & Adit construction",TT_Task,,"Method Statement",16-Nov-2010,13-Dec-2010,27,16-Nov-2010,07-Dec-2010,21,0,-6,-22.22,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821016154,"Submission of M.S. for CLP transformer room construction",TT_Task,,"Method Statement",11-Sep-2010,11-Oct-2010,30,11-Sep-2010,11-Oct-2010,30,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016164,"Approve M.S. for CLP transformer room construction",TT_Task,,"Method Statement",11-Oct-2010,08-Nov-2010,28,11-Oct-2010,16-Nov-2010,36,0,8,28.57,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016224,"Submission of M.S. for Nam Cheong Barging Point construction",TT_Task,,"Method Statement",22-Nov-2010,18-Dec-2010,26,22-Nov-2010,30-Dec-2010,38,0,12,46.15,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821016234,"Approve M.S. for Nam Cheong Barging Point construction",TT_Task,,"Method Statement",30-Dec-2010,27-Jan-2011,28,30-Dec-2010,27-Jan-2011,28,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013860,"Prepare & Submit TTMS (Site ingress/egress)",TT_Task,,"TTMS",29-Jul-2010,10-Sep-2010,43,29-Jul-2010,21-Aug-2010,23,0,-20,-46.51,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013870,"Approve TTMS",TT_Task,,"TTMS",21-Aug-2010,17-Sep-2010,27,21-Aug-2010,10-Sep-2010,20,0,-7,-25.93,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013880,"RMO Notification",TT_Task,,"TTMS",10-Sep-2010,23-Sep-2010,13,10-Sep-2010,24-Sep-2010,14,0,1,7.69,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821015540,"Prepare & Submit Traffic impact study (Nam Tei Quarry)",TT_Task,,"TTMS",04-Oct-2010,08-Nov-2010,35,04-Oct-2010,19-Nov-2010,46,0,11,31.43,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821015550,"Approve TTMS (Nam Tei Quarry)",TT_Task,,"TTMS",19-Nov-2010,05-Jan-2011,47,19-Nov-2010,29-Nov-2010,10,0,-37,-78.72,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013210,"Prepare and submit as-built drawings under Ref 4E",TT_Task,,"Completion",03-Jun-2014,26-Aug-2014,84,03-Jun-2014,28-Jul-2014,55,0,-29,-34.52,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013250,"Prepare and submit as-built drawings under Ref 4A",TT_Task,,"Completion",01-Apr-2014,02-Jul-2014,92,01-Apr-2014,11-Jul-2014,101,0,9,9.78,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013260,"Prepare and submit as-built drawings under Ref 4F",TT_Task,,"Completion",01-Apr-2014,02-Jul-2014,92,01-Apr-2014,01-Aug-2014,122,0,30,32.61,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013200,"Issue drawings for construction",TT_Task,,"Adit Portal Section - Temporary Support",29-Sep-2010,06-Oct-2010,7,29-Sep-2010,18-Oct-2010,19,0,12,171.43,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821013690,"RDO/GEO Consultation and MTRC Approve",TT_Task,,"Adit Portal Section - Temporary Support",13-Sep-2010,10-Oct-2010,27,13-Sep-2010,29-Sep-2010,16,0,-11,-40.74,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,4
821_RMP_B_R3_May15MP,821013660,"Submit Design Report to MTRC",TT_Task,,"Adit Portal Section - Temporary Support",19-Jul-2010,31-Aug-2010,43,19-Jul-2010,13-Aug-2010,25,0,-18,-41.86,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013680,"Resubmit Design report",TT_Task,,"Adit Portal Section - Temporary Support",27-Aug-2010,16-Sep-2010,20,27-Aug-2010,13-Sep-2010,17,0,-3,-15.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013670,"RDO/GEO Consultation and MTRC review",TT_Task,,"Adit Portal Section - Temporary Support",13-Aug-2010,09-Sep-2010,27,13-Aug-2010,27-Aug-2010,14,0,-13,-48.15,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821014660,"Submit Design Report to MTRC (Part I)",TT_Task,,"Geotechnical Features Inspection (Part I)",09-Aug-2010,05-Oct-2010,57,09-Aug-2010,13-Nov-2010,96,0,39,68.42,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821014710,"RDO/GEO Consultation and MTRC Approve (Part I)",TT_Task,,"Geotechnical Features Inspection (Part I)",13-Nov-2010,10-Dec-2010,27,13-Nov-2010,23-Nov-2010,10,0,-17,-62.96,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011300,"Prepare & Submit Design Report",TT_Task,,"Adit - Temporary Support",01-Nov-2010,03-Jan-2011,63,01-Nov-2010,26-Nov-2010,25,0,-38,-60.32,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012180,"RDO/GEO Consultation and MTRC Approve",TT_Task,,"Adit - Temporary Support",26-Nov-2010,23-Dec-2010,27,26-Nov-2010,09-Dec-2010,13,0,-14,-51.85,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821015030,"Approve Design Report (AIP)",TT_Task,,"Adit - Permanent Internal Structure",28-Apr-2011,25-May-2011,27,04-May-2011,20-Sep-2011,139,6,112,414.81,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821015040,"Prepare & Submit DDA",TT_Task,,"Adit - Permanent Internal Structure",27-May-2011,02-Jul-2011,36,20-Sep-2011,30-Nov-2011,71,116,35,97.22,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821015050,"RDO/GEO Consultation and MTRC Approve",TT_Task,,"Adit - Permanent Internal Structure",01-Dec-2011,28-Dec-2011,27,01-Dec-2011,28-Dec-2011,27,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
