Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
826_As-built,8260KD0020,"Stated Contract Commencement Date (Cl 64)",TT_Mile,,"Critical Contract Dates",15-Mar-2010,15-Mar-2010,0,15-Mar-2010,15-Mar-2010,,0,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,10
826_As-built,8260KD0030,"Table 3, Ref 3A - Delivery of the first TBM to HGP",TT_FinMile,,"Critical Contract Dates",30-May-2011,30-May-2011,0,29-May-2011,29-May-2011,,-1,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,1
826_As-built,8260KD0040,"Table 3, Ref 3B - All works in Works Area 1.6",TT_FinMile,,"Critical Contract Dates",01-Dec-2016,01-Dec-2016,0,11-Jul-2016,11-Jul-2016,,-143,,,01-Dec-2016,01-Dec-2016,25-Mar-2017,25-Mar-2017,1,1
826_As-built,8260KD0050,"Table 3, Ref 3C - Delivery of the second TBM to HGP",TT_FinMile,,"Critical Contract Dates",01-May-2012,01-May-2012,0,22-Apr-2012,22-Apr-2012,,-9,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,1
826_As-built,8260KD0060,"Table 4, Ref 4A - Achieve Deg. 1 for both Up and Down Track Tunnels",TT_FinMile,,"Critical Contract Dates",31-Mar-2016,31-Mar-2016,0,31-Mar-2016,31-Mar-2016,,0,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,11
826_As-built,8260KD0070,"Table 1 - Completion of the Whole of the Works (wk13/2015)",TT_FinMile,,"Critical Contract Dates",01-Jun-2017,01-Jun-2017,0,30-Nov-2016,30-Nov-2016,,-183,,,31-Mar-2017,31-Mar-2017,01-Apr-2017,01-Apr-2017,20,1
826_As-built,8260IFGS80,"S624 Conduct General Maintenance",TT_Task,,"Interface Contractor Programme - GSG",31-Dec-2013,01-Jan-2014,1,17-Jan-2014,17-Jan-2014,,17,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,2,1
826_As-built,8260IFGS82,"S624 Excavate 242m (SZ) (m.rock/total 1716m)",TT_Task,,"Interface Contractor Programme - GSG",30-Jan-2014,24-Feb-2014,25,18-Jan-2014,19-Feb-2014,32,-12,7,28.00,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,1
826_As-built,8260IFGS84,"S624 Conduct General Maintenance",TT_Task,,"Interface Contractor Programme - GSG",30-Jan-2014,31-Jan-2014,1,20-Feb-2014,20-Feb-2014,,21,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,1
826_As-built,8260IFGS86,"S624 Excavate 56m (SZ) (c.rock/total 1772m)",TT_Task,,"Interface Contractor Programme - GSG",30-Jan-2014,09-Feb-2014,10,21-Feb-2014,28-Feb-2014,7,22,-3,-30.00,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,1
826_As-built,8260IFGS88,"S624 Conduct General Maintenance",TT_Task,,"Interface Contractor Programme - GSG",30-Jan-2014,31-Jan-2014,1,01-Mar-2014,01-Mar-2014,,30,,,01-Dec-2016,01-Dec-2016,01-Dec-2016,01-Dec-2016,1,1
