ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1,58232,"CCGT D1_Integrated Programme Schedule",7112,"CCGTD1_IPS",WBS,"62091",,,,100,Complete,29/07/2015,14/11/2014,31/05/2022,,,,,,0,0,356,,0,0,83,,,,""
1.1,58803,"EWC - Early Civil Works",7112,"CCGTD1_IPS",WBS,"58232",,,,100,Complete,29/07/2015,29/07/2015,14/10/2021,30/09/2017,,,,,0,36,324,150,0,8,75,35,,,"CCGT D1_Integrated Programme Schedule"
1.1.1,62087,"Construction",7112,"CCGTD1_IPS",WBS,"58803",,,,100,Complete,01/06/2021,08/11/2016,14/10/2021,30/09/2017,,,,,304,103,324,150,71,24,75,35,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works"
1.1.1.1,62089,"Piling Works for Power Island (Turbine Hall and HRSG)",7112,"CCGTD1_IPS",WBS,"62087",,,,100,Complete,01/06/2021,08/11/2016,14/10/2021,30/09/2017,,,,,304,103,324,150,71,24,75,35,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction"
1.1.1.1-1,CS.1075,"Construct Trials & Test for BD inspection and acknowledgement",7112,"CCGTD1_IPS",TT_Task,"62089",-,-,-,100,TK_Complete,01/06/2021,08/11/2016,18/06/2021,23/11/2016,"","","","",304,103,307,105,71,24,71,24,97,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Piling Works for Power Island (Turbine Hall and HRSG)",0,0,0.0,0.0,0.0,17,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0381165919,1.0,0.0
1.1.1.1-2,A4090,"Turbine Hall (Driven Piles)",7112,"CCGTD1_IPS",TT_Task,"62089",-,-,-,100,TK_Complete,01/06/2021,20/12/2016,14/10/2021,04/05/2017,"","","","",304,109,324,128,71,25,75,30,97,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Piling Works for Power Island (Turbine Hall and HRSG)",0,0,0.0,0.0,0.0,135,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.302690583,1.0,0.0
1.1.1.1-3,A4095,"Site Drainage A&A works & Site Demob",7112,"CCGTD1_IPS",TT_Task,"62089",-,-,-,100,TK_Complete,01/06/2021,20/12/2016,07/06/2021,30/09/2017,"","","S1010 FF","S1010",304,109,305,150,71,25,71,35,97,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Piling Works for Power Island (Turbine Hall and HRSG)",0,0,0.0,0.0,0.0,6,0.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0134529148,0.0,0.0
1.1.1.1-4,A4100,"Turbine Hall (Pre-Bore Socket H-Piles)",7112,"CCGTD1_IPS",TT_Task,"62089",-,-,-,100,TK_Complete,01/06/2021,20/12/2016,12/07/2021,06/05/2017,"","","","",304,109,310,129,71,25,72,30,97,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Piling Works for Power Island (Turbine Hall and HRSG)",0,0,0.0,0.0,0.0,41,0.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0919282511,0.0,0.0
1.1.1.1-5,A4110,"HRSG (Driven H-Piles)",7112,"CCGTD1_IPS",TT_Task,"62089",-,-,-,100,TK_Complete,01/06/2021,20/12/2016,09/07/2021,04/05/2017,"","","","",304,109,310,128,71,25,72,30,98,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Piling Works for Power Island (Turbine Hall and HRSG)",0,0,0.0,0.0,0.0,38,0.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0852017937,0.0,0.0
1.1.1.1-6,A4120,"Post Drilling / BD Selection / Load Tests / BD Consent for Pile Cap",7112,"CCGTD1_IPS",TT_Task,"62089",-,-,-,100,TK_Complete,01/06/2021,09/05/2017,23/07/2021,30/06/2017,"","","","",304,129,312,137,71,30,72,31,98,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Piling Works for Power Island (Turbine Hall and HRSG)",0,0,0.0,0.0,0.0,52,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.1165919283,1.0,0.0
