ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1,55902,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",5121,"HK1003-Rev.0E-3",WBS,"26010",,,,,Active,01/08/2020,01/08/2020,31/12/2025,,,,,,0,0,282,,0,0,65,,,,""
1-1,SI---1P2A559,"DESIGN PHASE PIPING & SUPPORTS ON RACK LOT3",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,06/08/2021,06/08/2021,02/09/2021,02/09/2021,"SI---1P2A558 FS,SI---1P2A554 FS,SI---1P2A553 FS,SI---1P2A552 FS,SI---1P2A551 FS,SI---1P2A550 FS","SI---1P2A558,SI---1P2A554,SI---1P2A553,SI---1P2A552,SI---1P2A551,SI---1P2A550","SI---1P2A556 FS,SI---1P2A555 FS","SI---1P2A556,SI---1P2A555",52,52,56,56,12,12,13,13,25,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2,SI---1P2A558,"DESIGN PHASE PIPING & SUPPORTS ON RACK LOT2",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,09/07/2021,09/07/2021,05/08/2021,05/08/2021,"SI---1P2A557 FS,SI---1P2A548 FS,SI---1P2A547 FS,SI---1P2A546 FS,SI---1P2A545 FS,SI---1P2A544 FS","SI---1P2A557,SI---1P2A548,SI---1P2A547,SI---1P2A546,SI---1P2A545,SI---1P2A544","SI---1P2A559 FS,SI---1P2A523 FS,SI---1P2A549 FS","SI---1P2A559,SI---1P2A523,SI---1P2A549",48,48,52,52,11,11,12,12,21,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-3,SI---1P2A557,"DESIGN PHASE PIPING & SUPPORTS ON RACK LOT1",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,11/06/2021,11/06/2021,08/07/2021,08/07/2021,"SI---1P2A542 FS,SI---1P2A541 FS,SI---1P2A540 FS,SI---1P2A539 FS,SI---1P2A538 FS","SI---1P2A542,SI---1P2A541,SI---1P2A540,SI---1P2A539,SI---1P2A538","SI---1P2A558 FS,SI---1P2A525 FS,SI---1P2A543 FS","SI---1P2A558,SI---1P2A525,SI---1P2A543",44,44,48,48,10,10,11,11,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-4,SI---1P2A556,"FABRICATION ISOMETRICS ON RACK LOT3",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,93,TK_Active,03/09/2021,03/09/2021,01/10/2021,,"SI---1P2A559 FS","SI---1P2A559","SI20---3B51 FS","SI20---3B51",56,56,60,,13,13,14,,28,1264,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-5,SI---1P2A555,"PIPE SUPPORTS DOCUMENTATION ON RACK LOT3",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,93,TK_Active,03/09/2021,03/09/2021,01/10/2021,,"SI---1P2A559 FS","SI---1P2A559","SI20---3B51 FS","SI20---3B51",56,56,60,,13,13,14,,28,1264,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-6,SI---1P2A554,"(M2) LOT3-GR.5(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,10/06/2021,10/06/2021,10/06/2021,10/06/2021,"SI---1P2A553 FS","SI---1P2A553","SI---1P2A559 FS","SI---1P2A559",44,44,44,44,10,10,10,10,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-7,SI---1P2A553,"(M2) LOT3-GR.4(GHD,GKB,GMx,QFB,SCB,SGA,MAA/B/C)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,03/06/2021,03/06/2021,03/06/2021,03/06/2021,"SI---1P2A552 FS","SI---1P2A552","SI---1P2A554 FS,SI---1P2A559 FS","SI---1P2A554,SI---1P2A559",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-8,SI---1P2A552,"(M2) LOT3-GR.3(MAJ,MAN,MAV,LCW,MAX,LCE,GHC,HSJ)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,20/05/2021,20/05/2021,20/05/2021,20/05/2021,"SI---1P2A551 FS","SI---1P2A551","SI---1P2A553 FS,SI---1P2A559 FS","SI---1P2A553,SI---1P2A559",41,41,41,41,9,9,9,9,13,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-9,SI---1P2A551,"(M2) LOT3-GR.2(EKT,EKG,LCA10,LCA30,LCL,LDK10,MAG,MAG50,MAW,MAM,MAL)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,06/05/2021,06/05/2021,06/05/2021,06/05/2021,"SI---1P2A550 FS","SI---1P2A550","SI---1P2A552 FS,SI---1P2A559 FS","SI---1P2A552,SI---1P2A559",39,39,39,39,9,9,9,9,11,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
