Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
823A_As-built,823A-PRE-SPM-1060,"Implement and Maintain Specified Plans and satisfactorily confirmed by Engineer for 2nd audit",TT_Task,,"Specified Plan Management",29-Jan-2011,29-Jul-2011,181,29-Jan-2011,29-Jul-2011,181,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,2
823A_As-built,823A-PRE-SPM-1070,"Implement and Maintain Specified Plans and satisfactorily confirmed by Engineer for 3rd audit",TT_Task,,"Specified Plan Management",30-Jul-2011,27-Jan-2012,181,30-Jul-2011,27-Jan-2012,181,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,3
823A_As-built,823A-PRE-SPM-1080,"Implement and Maintain Specified Plans and satisfactorily confirmed by Engineer for 4th audit",TT_Task,,"Specified Plan Management",28-Jan-2012,27-Jul-2012,181,28-Jan-2012,27-Jul-2012,181,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,2
823A_As-built,823A-PRE-SPM-1090,"Implement and Maintain Specified Plans and satisfactorily confirmed by Engineer for 5th audit",TT_Task,,"Specified Plan Management",28-Jul-2012,25-Jan-2013,181,28-Jul-2012,25-Jan-2013,181,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,2
823A_As-built,823A-PRE-SPM-1100,"Implement and Maintain Specified Plans and satisfactorily confirmed by Engineer for 6th audit",TT_Task,,"Specified Plan Management",02-Jul-2013,20-Dec-2013,171,26-Jan-2013,26-Jul-2013,181,-157,10,5.85,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,2
823A_As-built,823A-PRE-SPM-1110,"Implement and Maintain Specified Plans and satisfactorily confirmed by Engineer for 7th audit",TT_Task,,"Specified Plan Management",28-Nov-2013,05-Jun-2014,189,27-Jul-2013,24-Jan-2014,181,-124,-8,-4.23,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,1
823A_As-built,823A-PRE-SPM-1120,"Health and Safety Plan - Prepare and submit [G3.6.1]",TT_Task,,"Specified Plan Management",19-Jul-2010,27-Sep-2010,70,19-Jul-2010,27-Sep-2010,70,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,1
823A_As-built,823A-PRE-SPM-1130,"System Assurance Plan - Prepare and submit for approval [PS Appendix P3.1]",TT_Task,,"Specified Plan Management",19-Jul-2010,19-Aug-2010,31,19-Jul-2010,19-Aug-2010,31,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,1
823A_As-built,823A-PRE-SPM-1140,"System Assurance Plan - Approval period",TT_Task,,"Specified Plan Management",20-Aug-2010,21-Sep-2010,32,20-Aug-2010,21-Sep-2010,32,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,1
823A_As-built,823A-PRE-SPM-1150,"Design for Safety & Constructability Plan - Prepare and submit for approval [PS37.1]",TT_Task,,"Specified Plan Management",19-Jul-2010,19-Aug-2010,31,19-Jul-2010,19-Aug-2010,31,0,0,0.00,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,1
